	Total																										Menos de 101 																										De 101 a 500 																										De 501 a 1.000																										De 1.001 a 2.000 																										De 2.001 a 5.000 																										De 5.001 a 10.000 																										De 10.001 a 20.000 																										De 20.001 a 50.000 																										De 50.001 a 100.000 																										De 100.001 a 500.000 																										Más de 500.000 																										
	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
08 Barcelona	5.714.730	5.743.402	5.664.579	5.609.350	5.576.037	5.542.680	5.523.922	5.523.784	5.540.925	5.552.050	5.529.099	5.511.147	5.487.935	5.416.447	5.332.513	5.309.404	5.226.354	5.117.885	5.052.666	4.906.117	4.804.606	4.736.277	4.706.325	4.666.271	""	4.628.277	712	683	687	725	725	721	725	730	754	786	773	692	591	578	684	571	661	671	657	734	707	699	776	882	""	869	13.714	13.437	13.343	13.785	14.300	14.302	13.928	13.461	13.006	13.656	13.212	13.292	13.938	14.810	14.938	15.571	15.262	15.544	16.095	16.628	16.325	16.777	16.820	16.101	""	16.297	18.634	19.369	21.040	21.236	20.620	20.597	21.270	21.892	22.586	22.150	21.558	21.526	20.727	22.445	23.138	20.594	21.883	22.841	23.170	23.588	23.914	22.770	23.828	24.368	""	25.327	38.116	36.430	33.894	32.590	36.228	36.214	34.155	38.315	34.363	36.483	43.168	42.613	44.190	40.083	36.715	40.456	48.346	53.899	53.820	51.965	55.090	65.349	61.658	56.966	""	60.436	198.045	195.099	192.496	190.665	185.142	189.355	186.526	188.425	183.650	176.648	174.811	173.925	174.995	176.203	180.705	175.525	171.324	159.897	160.137	162.921	170.310	167.307	176.700	175.630	""	170.577	360.656	357.587	372.617	368.507	365.155	357.439	361.575	355.736	365.558	369.043	362.140	358.401	359.187	347.271	357.550	344.694	328.841	342.440	331.536	310.128	327.187	321.719	306.969	296.300	""	287.009	531.987	529.690	503.119	537.698	533.319	529.879	528.113	527.584	527.192	544.903	541.542	536.915	521.749	512.185	471.640	481.167	456.494	429.931	445.879	449.486	387.087	396.911	436.526	426.802	""	424.446	879.273	880.228	869.901	822.697	816.004	812.330	807.511	805.968	806.993	786.565	781.542	775.845	771.052	759.278	746.644	721.841	709.509	671.819	621.193	682.154	662.487	608.411	539.412	530.990	""	596.712	861.574	863.898	853.677	846.217	840.455	836.622	832.894	832.580	834.405	834.546	832.944	828.046	824.511	811.245	797.692	795.547	782.777	763.720	752.809	635.263	621.519	612.035	604.113	599.788	""	496.909	1.175.287	1.182.799	1.167.043	1.154.887	1.143.280	1.136.475	1.132.670	1.136.707	1.140.596	1.146.327	1.141.961	1.140.555	1.135.458	1.116.441	1.107.697	1.107.836	1.098.182	1.078.577	1.064.632	1.046.060	1.034.655	1.028.033	1.036.072	1.032.863	""	1.040.890	1.636.732	1.664.182	1.636.762	1.620.343	1.620.809	1.608.746	1.604.555	1.602.386	1.611.822	1.620.943	1.615.448	1.619.337	1.621.537	1.615.908	1.595.110	1.605.602	1.593.075	1.578.546	1.582.738	1.527.190	1.505.325	1.496.266	1.503.451	1.505.581	""	1.508.805	
48 Bizkaia	1.154.334	1.159.443	1.152.651	1.149.628	1.148.302	1.147.576	1.148.775	1.151.905	1.156.447	1.158.439	1.155.772	1.153.724	1.152.658	1.146.421	1.141.457	1.139.863	1.136.181	1.132.861	1.133.428	1.133.444	1.132.616	1.132.729	1.137.418	1.137.594	""	1.140.026	0	0	0	0	0	0	0	0	0	0	0	0	95	93	97	94	90	95	94	96	88	90	88	92	""	0	7.648	7.575	7.580	7.646	7.214	7.209	7.226	7.204	7.115	7.056	7.561	7.436	7.711	7.556	7.516	7.401	7.394	7.350	7.296	7.274	7.181	7.149	8.113	8.056	""	7.704	12.634	12.450	12.534	12.528	13.010	13.056	13.075	13.136	13.180	14.303	13.626	12.508	11.915	12.784	14.543	14.335	13.646	12.433	12.320	14.289	14.141	14.979	13.845	13.710	""	15.173	28.301	27.992	27.860	27.820	27.799	27.794	27.806	27.847	27.890	28.845	28.642	29.443	29.329	27.864	25.186	24.573	24.123	26.689	26.318	24.136	23.812	24.538	26.343	25.828	""	24.562	60.305	64.812	64.445	69.161	69.116	68.912	69.052	69.064	69.058	66.908	66.546	65.982	65.336	64.381	63.519	62.819	67.548	69.679	69.091	68.499	67.574	69.847	67.252	66.763	""	66.701	108.796	103.951	103.519	98.098	98.027	97.590	97.702	97.708	97.836	97.294	96.381	105.651	104.539	103.183	102.009	101.233	95.513	90.087	89.700	88.674	87.968	82.699	82.560	82.043	""	81.541	136.936	137.021	136.277	135.374	134.886	134.629	134.149	133.915	133.964	133.622	132.232	121.215	120.631	119.989	118.977	118.029	117.101	115.809	114.873	114.303	113.097	112.611	112.554	112.520	""	112.343	275.263	276.202	274.766	274.469	274.421	274.685	275.550	276.833	277.707	278.387	277.934	278.704	279.012	278.643	278.284	279.267	279.646	230.074	230.891	231.131	232.325	232.794	234.162	234.994	""	236.386	77.139	77.770	77.946	78.276	78.406	78.554	78.846	79.544	79.839	80.026	80.089	179.598	179.230	178.588	178.158	177.967	177.947	228.328	229.278	231.092	232.487	233.751	234.912	235.121	""	136.267	447.312	451.670	447.724	446.256	445.423	445.147	445.369	446.654	449.858	451.998	452.761	353.187	354.860	353.340	353.168	354.145	353.173	352.317	353.567	353.950	353.943	354.271	357.589	358.467	""	459.349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
09 Burgos	356.055	357.650	356.958	357.070	358.171	360.995	364.002	366.900	371.248	374.970	375.657	374.826	375.563	373.672	365.972	363.874	361.021	356.437	355.205	352.723	349.810	347.240	347.218	346.355	""	350.074	9.000	9.408	8.946	8.926	8.899	8.819	9.133	8.570	8.949	8.183	8.139	8.137	8.098	8.241	7.895	7.899	7.703	7.815	7.793	7.884	8.154	8.180	7.858	7.690	""	7.579	32.624	31.881	32.793	33.353	32.999	33.823	32.796	33.879	34.309	33.641	34.086	36.300	35.640	36.554	38.187	37.742	38.197	38.394	37.854	37.705	38.757	39.474	39.771	39.489	""	40.829	20.314	20.010	20.128	19.704	19.789	20.042	19.858	20.110	21.208	23.081	23.561	21.208	23.335	23.160	22.663	22.700	22.510	22.322	23.934	24.416	25.181	25.626	25.263	25.744	""	25.090	24.171	23.971	23.920	23.977	25.177	25.326	25.566	25.769	22.972	24.142	22.081	21.776	20.503	19.420	18.162	21.934	21.878	19.769	18.599	18.455	12.444	11.463	10.595	10.653	""	11.972	14.984	14.699	14.649	14.698	14.834	15.027	17.384	17.798	20.219	20.293	22.478	22.485	22.571	22.381	21.629	17.346	16.992	18.537	23.491	18.287	22.179	22.345	24.533	24.626	""	25.111	12.299	12.316	12.323	12.491	12.707	12.807	13.112	13.209	13.589	13.865	13.902	14.154	14.258	13.988	13.004	12.756	12.409	12.023	6.604	11.465	11.375	11.401	11.154	11.131	""	11.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	68.612	68.947	68.378	68.000	68.143	68.543	69.053	69.789	70.905	71.859	72.159	72.192	72.192	72.049	70.357	69.821	68.911	67.895	67.613	66.549	65.469	65.393	65.242	65.038	""	64.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	174.051	176.418	175.821	175.921	175.623	176.608	177.100	177.776	179.097	179.906	179.251	178.574	178.966	177.879	174.075	173.676	172.421	169.682	169.317	167.962	166.251	163.358	162.802	161.984	""	163.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
10 Cáceres	389.558	391.850	394.151	396.487	400.036	403.665	406.267	408.703	410.275	413.597	415.446	415.083	413.633	412.498	411.531	412.899	412.580	411.390	410.762	410.242	409.130	407.546	408.949	405.616	""	413.396	596	589	691	746	688	476	491	400	307	225	225	426	438	359	373	256	256	276	187	0	0	0	0	100	""	0	28.084	27.635	27.972	27.560	27.777	26.942	26.576	26.852	27.765	28.032	26.301	24.937	25.065	24.391	23.705	24.530	23.729	22.233	21.586	22.460	21.377	22.463	21.607	21.575	""	20.851	38.942	39.562	40.054	40.987	42.202	41.396	42.924	43.317	43.132	42.583	42.374	44.657	42.049	42.496	43.995	42.875	44.236	46.558	44.991	43.632	43.695	44.526	44.421	43.343	""	44.123	61.109	59.403	62.242	58.933	57.715	61.584	59.438	59.924	59.231	59.610	57.155	58.201	60.014	59.324	57.337	58.436	60.848	61.614	62.970	66.355	71.221	66.468	68.837	65.916	""	65.702	41.007	43.127	41.381	45.838	48.431	49.132	51.657	52.053	52.427	54.845	61.086	59.167	59.323	61.430	63.388	63.598	61.604	61.628	64.147	64.998	63.416	67.438	71.157	74.208	""	79.714	55.504	55.890	56.165	56.513	56.920	57.525	58.723	49.155	50.046	50.980	51.217	51.475	52.003	51.994	52.100	42.663	42.834	52.251	52.099	51.521	50.995	60.020	61.103	58.710	""	60.220	29.340	29.529	29.607	29.701	30.026	30.133	30.086	40.255	40.395	40.652	40.670	40.594	40.462	40.212	39.849	50.538	50.448	39.770	39.118	38.342	37.816	27.378	26.745	26.685	""	27.719	39.558	39.860	39.913	40.141	40.360	40.663	40.755	40.892	41.047	41.002	41.392	41.447	41.148	40.105	39.982	39.785	39.596	38.815	38.576	38.495	38.576	37.018	36.465	36.465	""	37.299	95.418	96.255	96.126	96.068	95.917	95.814	95.617	95.855	95.925	95.668	95.026	94.179	93.131	92.187	90.802	90.218	89.029	88.245	87.088	84.439	82.034	82.235	78.614	78.614	""	77.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
11 Cádiz	1.245.960	1.244.049	1.240.155	1.238.714	1.239.435	1.239.889	1.240.284	1.240.175	1.238.492	1.245.164	1.243.519	1.236.739	1.230.594	1.220.467	1.207.343	1.194.062	1.180.817	1.164.374	1.155.724	1.140.793	1.131.346	1.125.105	1.119.802	1.107.484	""	1.105.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	464	455	455	438	446	457	471	456	448	471	485	479	479	475	476	481	481	473	449	455	414	440	447	451	""	0	1.495	1.469	1.461	1.484	1.482	1.489	1.499	1.495	1.504	1.549	1.587	1.587	1.580	1.599	1.576	1.594	1.606	1.585	1.562	1.580	1.586	1.590	1.591	1.580	""	1.108	4.542	4.536	4.552	4.539	4.573	4.639	4.693	4.745	4.777	4.836	4.866	4.908	4.916	4.966	5.018	5.065	5.148	7.112	7.080	7.099	7.104	7.166	7.188	5.218	""	6.268	21.119	21.051	21.021	18.270	18.404	18.471	18.464	18.543	18.688	18.778	18.829	18.828	18.851	18.719	18.542	18.426	18.238	16.055	15.949	16.082	16.069	16.063	16.091	18.108	""	18.102	70.279	70.185	70.522	73.787	74.111	74.500	74.815	75.036	65.488	66.192	66.311	66.294	66.173	66.233	66.016	75.556	74.942	74.099	73.986	73.439	73.300	73.177	73.445	73.118	""	73.010	90.826	90.563	90.364	90.376	90.605	90.788	90.741	90.790	101.333	101.264	101.208	101.032	100.968	100.474	99.498	108.783	107.591	125.514	124.029	122.469	120.750	119.640	119.165	117.805	""	116.347	204.103	202.479	201.343	200.202	199.711	199.519	199.309	199.321	199.604	200.344	199.132	197.503	195.365	192.816	188.929	165.571	162.261	140.452	139.626	136.978	135.230	133.731	132.323	130.254	""	129.432	403.105	401.689	399.704	398.346	398.007	397.676	398.028	397.850	397.713	398.965	397.538	394.969	391.755	387.288	382.035	375.544	371.179	363.529	358.273	352.658	348.765	345.473	341.337	334.247	""	331.724	450.027	451.622	450.733	451.272	452.096	452.350	452.264	451.939	448.937	452.765	453.563	451.139	450.507	447.897	445.253	443.042	439.371	435.555	434.770	430.033	428.128	427.825	428.215	426.703	""	429.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
39 Cantabria	584.507	582.905	581.078	580.229	580.295	582.206	585.179	588.656	591.888	593.861	593.121	592.250	589.235	582.138	572.824	568.091	562.309	554.784	549.690	542.275	537.606	531.159	528.478	527.137	""	527.437	141	138	140	132	138	142	144	143	141	145	163	150	144	151	160	155	148	145	140	141	153	155	155	160	""	62	4.814	4.798	4.373	4.919	5.007	5.127	5.245	4.785	4.835	4.513	4.651	4.549	4.624	4.680	4.708	4.658	4.764	4.908	4.852	4.881	4.366	3.904	3.926	3.912	""	4.149	13.730	14.648	14.304	13.859	12.985	12.122	11.316	10.865	11.037	10.709	9.804	9.824	9.932	10.048	10.124	11.248	12.321	13.283	13.297	14.504	15.128	15.560	13.623	12.663	""	12.829	26.185	26.860	27.810	29.876	30.928	32.031	31.248	34.444	32.844	34.012	35.028	35.025	34.870	36.668	39.909	38.463	43.471	42.418	43.787	42.733	40.737	38.704	42.782	43.565	""	42.347	75.418	77.226	76.834	74.664	74.555	79.546	81.728	79.734	82.004	82.007	81.347	80.341	84.063	84.855	78.697	76.785	74.399	68.218	65.386	64.653	71.005	72.158	69.356	68.799	""	71.109	87.136	81.911	81.600	81.405	81.205	76.330	76.421	76.569	76.635	66.159	65.579	64.793	59.084	52.824	51.294	50.138	43.789	57.242	56.389	54.953	48.613	47.446	46.640	45.843	""	45.275	64.118	64.031	64.096	64.180	64.201	64.347	64.665	65.034	65.138	75.227	74.922	75.013	74.716	92.800	90.389	89.009	87.583	76.021	75.013	73.261	72.175	90.030	88.226	87.749	""	85.749	89.507	88.321	87.888	87.463	87.291	87.086	86.959	87.150	87.304	87.327	86.153	85.078	83.155	61.900	60.323	58.566	55.649	52.343	49.410	46.308	44.289	22.749	22.535	22.788	""	22.311	51.237	51.597	51.494	51.687	52.034	52.819	53.496	54.196	54.827	55.297	55.553	55.888	55.947	55.910	55.418	56.143	56.230	56.407	56.638	56.180	55.909	56.189	57.070	57.493	""	58.196	172.221	173.375	172.539	172.044	171.951	172.656	173.957	175.736	177.123	178.465	179.921	181.589	182.700	182.302	181.802	182.926	183.955	183.799	184.778	184.661	185.231	184.264	184.165	184.165	""	185.410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
12 Castellón/Castelló	587.064	585.590	579.962	576.898	575.470	579.245	582.327	587.508	601.699	604.564	604.344	604.274	602.301	594.915	573.282	559.761	543.432	527.345	518.239	501.237	485.173	474.385	467.895	461.712	""	456.727	1.180	1.130	1.095	1.104	1.106	1.265	1.030	1.173	1.112	996	802	886	1.068	1.185	1.123	1.134	1.020	1.092	1.011	1.058	949	859	956	776	""	714	10.833	11.108	11.246	10.801	10.926	11.148	11.238	11.249	10.735	10.814	11.656	11.437	11.195	10.715	10.689	11.511	12.140	11.880	11.865	11.844	12.163	12.395	12.350	12.510	""	13.485	17.278	17.612	17.726	17.284	17.488	16.924	14.759	17.092	17.755	17.519	17.174	18.228	17.124	19.653	20.309	17.623	17.083	18.386	18.327	18.301	18.132	18.132	17.222	17.242	""	17.081	23.159	23.789	23.739	24.792	25.008	24.384	27.685	24.042	23.517	24.971	25.190	24.326	23.419	23.178	23.657	26.246	27.548	27.213	27.188	26.972	28.650	28.449	29.446	29.424	""	29.725	29.989	27.583	27.367	27.334	27.384	29.700	29.908	32.223	35.008	35.122	35.239	35.304	37.242	39.606	36.122	32.730	34.635	31.775	31.283	35.140	46.613	45.339	39.529	43.654	""	42.767	63.442	62.143	61.402	60.504	60.621	61.059	61.904	62.509	64.824	64.991	54.833	54.072	54.046	48.129	55.304	52.864	44.841	42.713	51.123	44.605	28.328	27.757	32.193	26.813	""	36.534	42.675	42.017	41.700	41.655	41.732	41.797	42.131	42.361	43.359	43.210	53.161	53.772	53.926	53.501	41.039	39.785	58.603	56.261	44.891	43.211	61.210	79.435	77.991	76.916	""	65.708	174.789	174.651	173.066	171.959	171.373	171.726	171.423	172.263	174.024	175.380	175.007	174.192	173.071	170.398	212.415	205.758	180.107	174.937	171.837	166.881	142.565	119.734	118.496	116.636	""	114.984	51.130	51.293	50.893	50.577	50.334	50.252	50.580	50.755	51.180	51.357	51.168	51.367	51.205	50.626	0	0	0	0	0	0	0	0	0	0	""	0	172.589	174.264	171.728	170.888	169.498	170.990	171.669	173.841	180.185	180.204	180.114	180.690	180.005	177.924	172.624	172.110	167.455	163.088	160.714	153.225	146.563	142.285	139.712	137.741	""	135.729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
13 Ciudad Real	492.591	495.045	495.761	499.100	502.578	506.888	513.713	519.613	524.962	530.250	530.175	529.453	527.273	522.343	510.122	506.864	500.060	492.914	487.670	484.338	478.581	476.633	479.087	479.474	""	478.672	56	161	75	178	89	192	99	89	91	94	98	0	0	0	0	0	0	0	0	180	78	82	177	89	""	88	6.527	6.522	6.316	5.676	5.933	5.490	5.756	5.825	5.966	5.198	4.824	5.450	5.015	5.081	5.065	4.628	4.736	4.782	4.813	3.766	3.977	4.066	4.021	4.183	""	3.772	18.006	18.126	16.972	18.666	16.075	15.956	16.267	16.416	15.799	16.123	16.821	16.443	18.153	16.435	16.638	17.179	15.421	16.523	15.632	17.760	16.872	17.079	14.873	14.940	""	14.708	25.388	23.667	26.029	25.402	28.878	28.454	27.130	27.720	27.208	28.695	30.972	29.106	28.200	30.214	29.993	30.020	32.069	30.964	32.112	29.313	30.736	31.111	32.548	32.614	""	34.060	43.623	45.649	46.015	41.375	41.703	44.109	46.830	47.519	50.008	50.669	48.723	50.477	50.565	50.701	50.494	50.437	50.539	50.540	50.330	52.742	53.059	53.317	48.789	48.959	""	49.324	77.182	77.418	77.787	83.510	74.074	74.954	76.169	76.908	77.917	79.432	79.361	79.613	79.507	79.028	76.857	76.562	75.854	85.103	84.877	84.467	84.338	94.187	99.452	99.302	""	99.436	103.919	104.205	104.260	104.682	115.260	116.523	117.572	119.133	119.809	120.824	120.619	120.588	120.060	119.176	115.332	114.102	112.331	100.351	98.787	97.200	95.899	84.507	85.993	85.863	""	85.356	142.786	143.793	143.561	144.868	145.925	147.156	99.428	100.435	101.742	102.297	101.759	101.131	99.917	98.195	93.900	93.342	89.965	137.250	135.416	83.791	132.342	81.829	81.729	81.608	""	81.764	75.104	75.504	74.746	74.743	74.641	74.054	124.462	125.568	126.422	126.918	126.998	126.645	125.856	123.513	121.843	120.594	119.145	67.401	65.703	115.119	61.280	110.455	111.505	111.916	""	110.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
14 Córdoba	776.789	781.451	782.979	785.240	788.219	791.610	795.611	799.402	802.422	804.498	805.857	805.108	803.998	798.822	792.182	788.287	784.376	779.870	775.944	771.131	769.625	769.237	768.676	767.175	""	761.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	1.836	1.847	1.902	1.928	1.959	2.009	2.048	2.062	2.097	1.640	1.672	1.674	1.677	1.699	1.729	1.720	2.208	2.232	1.733	1.756	2.240	1.751	1.294	1.317	""	1.348	5.182	4.133	4.156	4.227	4.304	4.365	4.490	4.567	4.682	5.232	5.326	5.343	5.341	5.386	5.366	5.329	3.804	3.805	4.294	4.381	3.904	4.426	4.986	4.927	""	5.020	18.113	19.186	19.396	18.978	17.330	17.448	15.730	17.923	20.011	16.269	18.413	18.303	18.195	18.142	22.013	19.888	20.668	22.736	22.768	23.038	23.228	23.429	23.470	23.559	""	21.801	92.752	92.658	93.285	87.288	85.064	85.973	88.917	87.557	81.379	85.759	78.921	78.808	78.699	78.735	74.528	76.277	76.367	79.107	83.910	84.367	84.769	80.304	80.830	70.917	""	73.465	104.142	104.260	104.636	101.396	107.141	97.738	98.260	98.915	104.488	105.084	110.362	110.477	110.342	109.947	109.398	109.184	108.900	113.595	108.088	108.266	118.065	123.612	114.504	114.527	""	114.672	74.175	74.271	74.578	85.752	86.196	96.616	97.126	77.879	78.365	78.455	78.369	78.200	77.827	77.151	75.980	75.497	74.607	63.981	103.006	102.625	92.182	92.161	102.360	92.621	""	111.201	158.518	159.057	159.325	159.963	160.309	160.852	161.678	182.458	182.696	183.218	184.135	183.756	183.489	182.309	179.568	177.525	176.658	174.722	133.517	131.893	131.203	130.091	129.524	149.346	""	127.646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	322.071	326.039	325.701	325.708	325.916	326.609	327.362	328.041	328.704	328.841	328.659	328.547	328.428	325.453	323.600	322.867	321.164	319.692	318.628	314.805	314.034	313.463	311.708	309.961	""	306.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
15 Coruña, A	1.120.134	1.121.815	1.119.596	1.119.351	1.120.294	1.122.799	1.127.196	1.132.735	1.138.161	1.143.911	1.147.124	1.146.458	1.145.488	1.139.121	1.132.792	1.129.141	1.126.707	1.121.344	1.120.814	1.111.886	1.108.002	1.108.419	1.108.980	1.106.325	""	1.110.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	23.251	23.180	23.443	21.663	22.007	20.340	20.602	18.921	17.221	17.619	17.891	18.131	18.344	16.496	16.730	17.002	17.272	17.477	17.583	15.777	16.046	18.166	18.347	16.472	""	14.845	93.877	89.070	89.904	93.085	99.092	97.245	93.650	96.928	105.434	102.419	104.610	105.851	101.776	94.673	90.735	86.644	87.733	88.684	84.605	87.767	93.466	86.749	87.356	79.893	""	82.672	201.167	205.556	206.102	207.189	203.216	209.714	216.550	218.311	214.725	212.149	214.188	214.853	220.474	230.823	236.494	221.973	243.227	223.755	220.766	222.156	218.621	234.214	225.988	237.691	""	242.376	139.379	139.009	138.616	138.339	138.324	138.742	139.661	140.291	140.380	151.799	152.002	152.113	151.607	150.109	148.855	167.782	147.256	166.512	176.017	213.044	210.639	198.227	225.767	222.615	""	220.883	254.349	253.988	252.495	251.021	249.531	248.506	247.799	247.285	247.205	246.111	244.235	241.001	237.866	232.821	226.697	222.563	217.796	211.913	206.838	157.891	156.068	154.136	132.384	130.388	""	129.021	162.643	163.408	163.325	163.204	164.025	164.274	165.064	166.189	167.273	167.668	168.170	168.462	169.365	169.035	168.893	169.857	170.074	170.157	171.103	172.793	173.728	175.158	175.736	176.132	""	176.720	245.468	247.604	245.711	244.850	244.099	243.978	243.870	244.810	245.923	246.146	246.028	246.047	246.056	245.164	244.388	243.320	243.349	242.846	243.902	242.458	239.434	241.769	243.402	243.134	""	243.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
16 Cuenca	195.516	196.139	196.329	197.222	198.718	201.071	203.841	207.449	211.899	218.036	219.138	217.716	217.363	215.274	211.375	208.616	207.974	204.546	202.982	201.614	201.526	201.053	200.963	199.086	""	201.712	4.088	4.233	3.989	4.290	4.214	4.304	3.775	3.749	3.894	3.472	3.573	3.520	3.462	3.227	2.520	3.034	3.012	2.737	2.568	2.460	2.433	2.690	2.481	2.504	""	2.391	25.465	25.316	25.625	24.745	24.677	24.069	25.127	24.216	24.508	25.597	26.538	25.845	26.919	26.869	28.067	27.178	27.445	28.713	28.107	28.350	28.533	28.488	28.500	27.779	""	28.451	16.832	16.832	17.370	18.582	20.914	22.910	22.933	23.983	23.182	23.097	23.281	23.853	23.410	25.490	25.598	26.166	25.843	25.373	27.324	27.556	26.270	25.905	26.523	27.947	""	29.102	23.594	23.615	23.707	23.804	23.086	21.566	23.006	24.476	26.895	29.814	28.253	27.949	27.622	26.542	26.313	24.199	27.367	26.980	26.098	25.877	28.010	29.322	29.459	28.269	""	26.914	22.698	22.677	22.606	22.680	22.794	25.040	25.436	25.837	26.551	27.700	29.870	29.787	29.753	29.327	28.429	30.316	28.210	27.860	27.590	27.564	27.642	27.739	28.098	32.672	""	30.209	33.206	33.340	33.071	33.233	33.323	33.330	33.214	33.846	34.691	35.243	35.079	34.841	34.680	34.257	33.254	33.071	32.919	32.325	31.719	31.018	30.351	29.712	29.467	24.168	""	29.608	15.645	15.505	15.271	14.990	14.834	14.750	14.922	15.604	16.071	16.081	15.841	15.732	15.651	14.962	14.214	13.447	13.266	12.696	12.375	11.930	11.796	11.490	11.335	11.189	""	11.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.912	47.862	47.201	46.859	46.491	45.707	45.100	44.558	""	43.733	53.988	54.621	54.690	54.898	54.876	55.102	55.428	55.738	56.107	57.032	56.703	56.189	55.866	54.600	52.980	51.205	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
